   3.7000000e+01   0.0000000e+00   3.6000000e+02   8.0280108e+00   6.0000000e+03
   0.0000000e+00  -1.9894026e+02  -1.1104400e+02  -2.7505520e+01  -7.6416000e+01
   1.0000000e+00  -5.8672890e+01   2.6753000e+01  -2.7407925e+01  -7.6933000e+01
   2.0000000e+00  -4.6844318e+01   2.6617000e+01  -2.7105915e+01  -7.8433000e+01
   3.0000000e+00  -4.0145985e+01   2.6412000e+01  -2.6619864e+01  -8.0775000e+01
   4.0000000e+00  -3.5635711e+01   2.6163000e+01  -2.5972479e+01  -8.3760000e+01
   5.0000000e+00  -3.2382859e+01   2.5904000e+01  -2.5192746e+01  -8.7170000e+01
   6.0000000e+00  -2.9984688e+01   2.5678000e+01  -2.4311504e+01  -9.0809000e+01
   7.0000000e+00  -2.8239904e+01   2.5518000e+01  -2.3363011e+01  -9.4515000e+01
   8.0000000e+00  -2.7043650e+01   2.5465000e+01  -2.2384635e+01  -9.8168000e+01
   9.0000000e+00  -2.6357958e+01   2.5536000e+01  -2.1379242e+01  -1.0167500e+02
   1.0000000e+01  -2.6194672e+01   2.5721000e+01  -2.0366072e+01  -1.0495500e+02
   1.1000000e+01  -2.6590371e+01   2.5979000e+01  -1.9333440e+01  -1.0794000e+02
   1.2000000e+01  -2.7654001e+01   2.6200000e+01  -1.8285243e+01  -1.1056000e+02
   1.3000000e+01  -2.9536223e+01   2.6151000e+01  -1.7213915e+01  -1.1275100e+02
   1.4000000e+01  -3.2533293e+01   2.5315000e+01  -1.6122497e+01  -1.1445400e+02
   1.5000000e+01  -3.7201419e+01   2.2351000e+01  -1.5016033e+01  -1.1564000e+02
   1.6000000e+01  -4.4658061e+01   1.2626000e+01  -1.3898776e+01  -1.1629200e+02
   1.7000000e+01  -5.4665886e+01  -2.5435000e+01  -1.2789454e+01  -1.1641700e+02
   1.8000000e+01  -4.8630378e+01  -8.6909000e+01  -1.1700533e+01  -1.1603700e+02
   1.9000000e+01  -3.7785000e+01  -1.0527300e+02  -1.0648073e+01  -1.1518400e+02
   2.0000000e+01  -3.0354782e+01  -1.0979100e+02  -9.6485422e+00  -1.1389300e+02
   2.1000000e+01  -2.4994486e+01  -1.1035700e+02  -8.7145714e+00  -1.1219200e+02
   2.2000000e+01  -2.0907494e+01  -1.0937600e+02  -7.8560074e+00  -1.1010300e+02
   2.3000000e+01  -1.7676176e+01  -1.0768700e+02  -7.0981075e+00  -1.0764100e+02
   2.4000000e+01  -1.5074485e+01  -1.0565700e+02  -6.4299215e+00  -1.0481200e+02
   2.5000000e+01  -1.2968614e+01  -1.0348600e+02  -5.8702503e+00  -1.0161500e+02
   2.6000000e+01  -1.1268670e+01  -1.0127700e+02  -5.4213354e+00  -9.8050000e+01
   2.7000000e+01  -9.9153308e+00  -9.9090000e+01  -5.0806687e+00  -9.4116000e+01
   2.8000000e+01  -8.8653373e+00  -9.6965000e+01  -4.8667949e+00  -8.9818000e+01
   2.9000000e+01  -8.0907754e+00  -9.4936000e+01  -4.7707509e+00  -8.5164000e+01
   3.0000000e+01  -7.5711986e+00  -9.3032000e+01  -4.8006508e+00  -8.0170000e+01
   3.1000000e+01  -7.2874532e+00  -9.1300000e+01  -4.9700189e+00  -7.4855000e+01
   3.2000000e+01  -7.2238783e+00  -8.9805000e+01  -5.2809286e+00  -6.9244000e+01
   3.3000000e+01  -7.3756356e+00  -8.8637000e+01  -5.7491438e+00  -6.3358000e+01
   3.4000000e+01  -7.7124357e+00  -8.7914000e+01  -6.4082699e+00  -5.7215000e+01
   3.5000000e+01  -8.2212337e+00  -8.7776000e+01  -7.2635580e+00  -5.0821000e+01
   3.6000000e+01  -8.8424118e+00  -8.8377000e+01  -8.3618011e+00  -4.4173000e+01
   3.7000000e+01  -9.5083688e+00  -8.9853000e+01  -9.7358595e+00  -3.7248000e+01
   3.8000000e+01  -1.0112932e+01  -9.2270000e+01  -1.1439362e+01  -2.9996000e+01
   3.9000000e+01  -1.0529102e+01  -9.5544000e+01  -1.3545772e+01  -2.2325000e+01
   4.0000000e+01  -1.0631647e+01  -9.9365000e+01  -1.6160074e+01  -1.4066000e+01
   4.1000000e+01  -1.0345704e+01  -1.0323300e+02  -1.9445891e+01  -4.8860000e+00
   4.2000000e+01  -9.6821028e+00  -1.0659100e+02  -2.3667810e+01   5.9510000e+00
   4.3000000e+01  -8.7249179e+00  -1.0901100e+02  -2.9260619e+01   2.0311000e+01
   4.4000000e+01  -7.5959565e+00  -1.1029300e+02  -3.6678073e+01   4.3916000e+01
   4.5000000e+01  -6.4082699e+00  -1.1044700e+02  -4.2932217e+01   9.1008000e+01
   4.6000000e+01  -5.2556421e+00  -1.0960600e+02  -3.8359118e+01   1.4297200e+02
   4.7000000e+01  -4.1878190e+00  -1.0795700e+02  -3.0763934e+01   1.6963100e+02
   4.8000000e+01  -3.2470290e+00  -1.0568900e+02  -2.4970019e+01  -1.7521100e+02
